iter_id,iter_start_time,iter_end_time,iter_sam_thrp,iter_est_thrp,iter_base_buff,req_s_num,iter_down_time_budget
0,632.03,880.01,4693.91,0.00,1.00,1,-632.07,0.00
1,880.02,1124.99,4751.60,4693.91,1.80,1,-880.03,200.00
2,1125.00,1367.11,4807.79,4722.76,2.60,1,1769.94,400.00
3,1367.12,1614.00,4714.71,4751.10,3.30,1,2527.83,600.00
4,1614.01,1858.85,4754.03,4758.03,4.10,1,3280.93,800.00
5,1858.86,2101.54,4796.34,4758.84,4.80,1,4036.09,1000.00
6,2101.55,2348.02,4722.68,4755.03,5.60,1,4793.39,1200.00
7,2348.03,2593.02,4751.19,4757.68,6.40,1,5546.91,1400.00
8,2593.05,2906.33,4746.64,4756.74,6.00,24,301.88,1600.00
9,2906.34,3224.12,3662.80,4740.17,6.70,1,5988.61,1800.00
10,3224.13,3763.30,4766.57,4386.88,6.20,22,670.80,2000.00
11,3763.31,4011.63,4687.46,4392.00,6.90,1,6131.63,2200.00
12,4011.64,4552.04,4755.71,4372.28,6.40,22,883.29,2400.00
13,4552.05,4799.45,4704.86,4736.58,7.20,1,6342.89,2600.00
14,4999.61,5642.94,4747.11,4716.01,6.30,24,895.31,2800.00
15,5642.95,5888.34,4743.43,4735.89,7.10,1,6251.99,3000.00
16,5988.41,6631.65,4747.82,4731.80,6.30,24,906.50,3200.00
17,6631.66,6879.03,4705.41,4746.12,7.10,1,6263.29,3400.00
18,6979.05,7622.15,4748.87,4732.22,6.30,24,915.86,3600.00
19,7622.16,7867.44,4745.65,4734.03,7.10,1,6272.78,3800.00
20,7967.79,8612.04,4740.37,4733.31,6.40,24,927.12,4000.00
21,8612.05,8858.82,4716.87,4744.96,7.10,1,6282.89,4200.00
22,8958.91,9829.43,4751.16,4734.30,6.10,31,936.00,4400.00
23,9829.44,10072.23,4794.33,4736.13,6.90,1,6065.50,4600.00
24,10072.26,10892.05,4748.82,4754.12,6.10,29,822.67,4754.12
25,10892.05,11134.94,4792.29,4764.77,6.80,1,6002.89,4764.77
26,11134.98,11789.91,4760.79,4778.48,6.20,23,759.96,4778.48
27,11789.92,12037.05,4710.03,4767.30,6.90,1,6105.02,4767.30
28,12037.07,12645.09,4730.10,4754.37,6.30,22,857.84,4754.37
29,12645.10,12892.06,4713.29,4733.64,7.10,1,6249.85,4733.64
30,12992.38,13597.12,4755.71,4717.81,6.40,22,902.53,4717.81
31,13597.14,13842.32,4747.55,4733.03,7.10,1,6297.81,4733.03
32,13943.19,14668.24,4457.64,4738.85,6.30,28,951.73,4738.85
33,14668.24,14914.95,4718.11,4653.63,7.10,1,6226.70,4653.63
34,15015.71,15901.64,4746.37,4641.10,6.10,27,879.21,4641.10
