iter_id,iter_start_time,iter_end_time,iter_sam_thrp,iter_est_thrp,iter_base_buff,req_s_num,iter_down_time_budget
35,15901.65,16209.50,3781.04,4640.71,6.80,1,5993.30,4640.71
36,16209.50,16900.05,4740.77,4415.17,6.10,26,685.43,4440.71
37,16900.06,17184.47,4092.65,4422.73,6.80,1,5994.88,4422.73
38,17184.48,17725.21,4752.87,4204.82,6.30,22,710.45,4222.73
39,17725.22,17968.24,4789.59,4528.77,7.00,1,6169.72,4422.73
40,17968.25,18736.32,4523.03,4545.04,6.30,28,926.68,4545.04
41,18736.36,18981.18,4754.47,4688.50,7.00,1,6158.58,4688.50
42,18981.18,19621.77,4767.48,4689.03,6.40,24,913.75,4689.03
43,19621.81,19870.35,4683.29,4681.66,7.10,1,6273.13,4681.66
44,19970.38,20615.40,4734.78,4735.08,6.40,24,924.53,4735.08
45,20615.40,20858.69,4784.41,4728.52,7.10,1,6279.54,4728.52
46,20958.87,21601.88,4749.58,4734.16,6.40,24,936.04,4734.16
47,21601.88,21849.84,4694.46,4756.26,7.20,1,6293.06,4756.26
48,22050.79,22654.89,4760.79,4742.82,6.30,22,844.12,4742.82
49,22654.90,22900.12,4746.76,4734.94,7.10,1,6240.04,4734.94
50,23000.67,23607.81,4736.94,4734.00,6.40,22,894.24,4734.00
51,23607.82,23854.74,4714.02,4748.16,7.20,1,6287.12,4748.16
52,24056.09,24700.49,4739.31,4732.57,6.30,24,838.82,4732.57
53,24700.49,24947.90,4704.80,4730.09,7.10,1,6194.45,4730.09
54,25048.32,25727.03,4762.03,4719.38,6.30,28,846.59,4719.38
55,25727.03,25970.69,4777.21,4735.38,7.00,1,6167.91,4735.38
56,25970.70,26576.38,4748.37,4748.01,6.40,22,924.23,4748.01
57,26576.38,26821.50,4748.71,4762.54,7.20,1,6318.56,4762.54
58,27022.41,27742.16,4401.56,4758.10,6.30,29,872.49,4758.10
59,27742.17,27989.49,4706.42,4632.88,7.00,1,6152.77,4632.88
60,27989.49,28768.01,4771.90,4618.90,6.20,27,905.44,4618.90
61,28768.02,29014.27,4726.90,4626.62,7.00,1,6126.92,4626.62
62,29014.28,29765.01,4627.51,4735.07,6.30,28,880.63,4735.07
63,29765.02,30007.73,4795.79,4708.77,7.00,1,6129.92,4708.77
64,30007.74,30652.42,4737.22,4716.74,6.40,24,887.19,4716.74
65,30652.43,30897.06,4758.17,4720.17,7.10,1,6242.51,4720.17
66,30997.15,31650.69,4749.49,4763.72,6.40,30,897.77,4763.72
67,31650.69,31894.13,4781.64,4748.29,7.10,1,6244.25,4748.29
68,31994.52,32912.04,4734.24,4763.10,6.10,31,900.40,4763.10
69,32912.04,33212.73,3871.15,4755.12,6.80,1,5982.90,4755.12
70,33212.73,33790.92,4752.79,4462.34,6.20,24,682.20,4555.12
71,33790.92,34035.84,4752.59,4452.73,7.00,1,6104.02,4452.73
72,34035.85,34816.98,4755.91,4458.84,6.20,27,859.08,4458.84
73,34816.99,35059.95,4790.89,4753.76,7.00,1,6077.95,4658.84
74,35059.96,35700.80,4765.59,4766.47,6.30,24,834.96,4766.47
75,35700.81,35946.32,4741.23,4770.80,7.10,1,6194.10,4770.80
76,36046.88,36890.26,4767.73,4765.90,6.10,27,848.02,4765.90
77,36890.27,37134.18,4772.27,4758.18,6.90,1,6004.68,4758.18
78,37134.18,37691.68,4742.63,4760.41,6.30,27,760.75,4760.41
79,37691.69,37937.57,4733.92,4760.87,7.10,1,6203.26,4760.87
80,38037.66,38678.96,4762.18,4749.61,6.40,24,857.25,4749.61
81,38678.97,38925.05,4730.09,4746.24,7.10,1,6215.97,4746.24
82,39025.16,39893.63,4762.35,4742.06,6.20,31,869.75,4742.06
83,39893.65,40141.10,4703.98,4751.54,6.90,1,6001.29,4751.54
84,40141.10,40772.82,4733.17,4732.14,6.30,25,753.83,4732.14
85,40772.82,41020.60,4697.73,4733.17,7.00,1,6122.12,4733.17
86,41020.61,41815.85,4752.02,4711.63,6.20,26,874.32,4711.63
87,41815.86,42060.21,4763.60,4727.64,7.00,1,6079.08,4727.64
88,42060.22,42708.73,4709.26,4737.78,6.30,24,834.71,4737.78
89,42708.74,42954.26,4740.96,4741.63,7.10,1,6186.20,4741.63
90,43054.68,43792.70,4620.51,4737.94,6.30,30,840.23,4737.94
91,43792.71,44038.22,4741.13,4690.24,7.00,1,6102.23,4690.24
92,44038.22,44807.19,4749.25,4700.87,6.30,30,856.71,4700.87
93,44807.19,45049.67,4800.42,4703.63,7.00,1,6087.75,4703.63
94,45049.68,45690.28,4767.39,4763.60,6.40,24,845.25,4763.60
95,45690.29,45935.47,4747.51,4772.35,7.10,1,6204.65,4772.35
96,46035.61,46677.43,4758.34,4771.77,6.40,24,859.31,4771.77
97,46677.44,46921.82,4763.09,4757.75,7.10,1,6217.51,4757.75
98,47021.85,47898.11,4752.03,4756.32,6.20,30,873.07,4756.32
99,47898.12,48200.60,3848.10,4757.82,6.90,1,5996.83,4757.82
100,48200.61,48755.27,4748.85,4454.41,6.30,21,694.32,4557.82
101,48755.28,49002.43,4709.75,4449.66,7.10,1,6139.66,4449.66
102,49102.84,49870.79,4755.52,4435.56,6.20,29,792.07,4435.56
103,49870.79,50116.49,4737.66,4738.04,7.00,1,6024.15,4635.56
104,50116.49,50769.61,4752.54,4734.31,6.30,30,778.44,4734.31
105,50769.62,51011.89,4804.62,4748.58,7.10,1,6125.32,4748.58
106,51112.36,51781.38,4735.28,4764.94,6.30,29,782.55,4764.94
107,51781.39,52028.64,4707.75,4764.15,7.10,1,6113.55,4764.15
108,52129.31,52743.79,4761.77,4749.21,6.30,28,765.59,4749.21
109,52743.80,52990.19,4724.12,4734.93,7.10,1,6151.14,4734.93
110,53090.82,53695.44,4756.76,4731.21,6.40,22,804.09,4731.21
111,53695.45,53942.68,4708.03,4747.55,7.10,1,6199.49,4747.55
112,54043.86,54878.27,4742.27,4729.64,6.20,28,850.93,4729.64
113,54878.28,55125.08,4716.24,4735.69,7.00,1,6016.67,4735.69
114,55125.09,55917.95,4749.68,4722.18,6.20,28,769.84,4722.18
115,55917.96,56200.28,4122.97,4736.06,6.90,1,5976.99,4736.06
116,56200.29,56807.03,4740.02,4529.63,6.30,22,694.64,4536.06
117,56807.06,57054.46,4704.86,4537.55,7.00,1,6087.88,4537.55
118,57054.47,57873.56,4754.04,4522.61,6.20,31,840.46,4522.61
119,57873.57,58116.29,4795.65,4732.97,7.00,1,6021.37,4722.61
120,58116.30,58721.39,4752.99,4751.52,6.40,22,778.64,4751.52
121,58721.40,58964.42,4789.67,4767.56,7.10,1,6173.54,4767.56
122,59064.72,59832.39,4525.37,4779.44,6.30,29,830.20,4779.44
123,59832.40,60076.91,4760.42,4689.34,7.00,1,6062.55,4689.34
124,60076.92,60719.17,4755.18,4691.82,6.40,24,818.01,4691.82
125,60719.17,60964.95,4736.02,4680.32,7.10,1,6175.77,4680.32
126,61065.92,61861.20,4751.79,4750.54,6.20,26,829.00,4750.54
127,61861.20,62106.08,4753.39,4747.66,7.00,1,6033.74,4747.66
128,62106.09,62895.95,4737.37,4747.06,6.20,30,788.84,4747.06
129,62895.95,63194.35,3900.80,4747.51,6.90,1,5998.99,4747.51
130,63194.36,63784.84,4762.24,4463.85,6.30,23,700.57,4547.51
131,63784.85,64032.03,4709.04,4466.80,7.10,1,6110.09,4466.80
132,64133.21,64883.03,4717.14,4457.36,6.20,25,761.62,4457.36
133,65083.09,65714.62,4734.53,4729.47,5.40,25,811.82,4657.36
134,66116.85,66721.25,4758.41,4720.24,4.40,22,778.05,4720.24
135,67122.66,67915.45,4738.09,4736.69,3.20,28,772.25,4736.69
136,68115.55,68721.81,4743.78,4743.67,2.40,22,779.37,4743.67
137,69122.94,69764.01,4763.92,4746.76,1.40,24,771.97,4746.76
