reqStreamId, pushStreamId,face_req_time,face_end_time,face_dow_thrp,face_late,face_cancel, iter_id,sid,fid,layerId, face_br,face_size,face_ini_weight
15,0,632.09,879.97,4695.99,1,0,0,0,0,0,1164,1164.00,20.00
17,0,880.05,1124.97,4752.57,0,0,1,1,0,0,1164,1164.00,20.00
19,0,1125.02,1367.05,4809.40,0,0,2,2,0,0,1164,1164.00,20.00
21,0,1367.15,1613.92,4716.92,0,0,3,3,0,0,1164,1164.00,20.00
23,0,1614.04,1858.82,4755.29,0,0,4,4,0,0,1164,1164.00,20.00
25,0,1858.91,2101.48,4798.63,0,0,5,5,0,0,1164,1164.00,20.00
27,0,2101.58,2347.96,4724.41,0,0,6,6,0,0,1164,1164.00,20.00
29,0,2348.06,2592.99,4752.34,0,0,7,7,0,0,1164,1164.00,20.00
31,0,2593.19,2606.66,4676.37,0,0,8,2,2,1,63,63.00,20.00
33,0,2593.19,2621.34,2238.17,0,0,8,2,3,1,63,63.00,20.00
35,0,2593.19,2635.72,1481.34,0,0,8,2,4,1,63,63.00,20.00
37,0,2593.19,2645.70,1199.73,0,0,8,2,1,1,63,63.00,20.00
39,0,2593.19,2660.37,937.81,0,0,8,2,23,1,63,63.00,20.00
41,0,2593.19,2674.47,775.06,0,0,8,2,21,1,63,63.00,20.00
43,0,2593.19,2689.21,656.13,0,0,8,2,16,1,63,63.00,20.00
45,0,2593.19,2702.34,577.17,0,0,8,2,10,1,63,63.00,20.00
47,0,2593.19,2712.16,529.57,0,0,8,2,14,1,63,63.00,20.00
49,0,2593.19,2736.52,802.34,0,0,8,2,2,2,115,115.00,20.00
51,0,2593.19,2762.54,679.07,0,0,8,2,3,2,115,115.00,20.00
53,0,2593.19,2784.22,602.00,0,0,8,2,4,2,115,115.00,20.00
55,0,2593.19,2808.41,534.35,0,0,8,2,1,2,115,115.00,20.00
57,0,2593.19,2836.37,472.90,0,0,8,2,23,2,115,115.00,20.00
59,0,2593.19,2861.02,429.39,0,0,8,2,21,2,115,115.00,20.00
61,0,2593.19,2882.45,397.57,0,0,8,2,16,2,115,115.00,20.00
63,0,2593.19,-19139031.72,-0.01,0,1,8,2,10,2,115,115.00,20.00
65,0,2593.19,-19139031.72,-0.00,0,1,8,2,14,2,115,0.00,20.00
67,0,2593.20,-19139031.72,-0.00,0,1,8,2,2,3,242,0.00,20.00
