iter_id,iter_start_time,iter_end_time,iter_sam_thrp,iter_est_thrp,iter_base_buff,req_s_num,iter_down_time_budget
84,39273.70,39684.29,46185.21,51792.86,5.60,84,820.52,16800.00
85,39684.30,39713.34,40082.64,46448.14,6.60,1,5410.00,17000.00
86,40315.97,40665.71,46474.52,44138.74,5.60,72,778.25,17200.00
87,40665.72,40689.88,48182.80,44247.46,6.60,1,5428.23,17400.00
88,41293.65,41464.11,47677.71,44913.32,5.90,36,800.57,17600.00
89,41464.11,41487.63,49500.32,47445.01,6.80,1,5630.19,17800.00
90,42292.92,42660.29,46702.87,48453.61,5.70,76,801.29,18000.00
91,42660.30,42679.20,61571.01,47960.30,6.60,1,5434.01,18200.00
92,43281.79,43664.98,47130.91,52591.40,5.70,80,812.44,18400.00
93,43664.99,43689.25,47978.24,51801.60,6.60,1,5429.31,18600.00
94,44291.90,44650.43,47854.40,52226.72,5.70,76,802.33,18800.00
95,44650.43,44669.03,62590.74,47654.52,6.70,1,5443.86,19000.00
96,45373.07,45733.55,47594.21,52807.79,5.60,76,721.14,19200.00
97,45733.56,45757.82,47980.21,52679.79,6.60,1,5360.74,19400.00
98,46361.27,46710.40,46556.52,52721.72,5.60,72,732.94,19600.00
99,46710.40,46729.75,60158.15,47376.98,6.60,1,5383.89,19800.00
100,47332.43,47671.32,47962.32,51564.96,5.70,72,761.79,20000.00
101,47671.33,47697.75,44069.21,51559.00,6.60,1,5422.97,20200.00
102,48299.87,48667.04,46727.80,50729.89,5.70,76,794.43,20400.00
103,48667.04,48687.20,57746.69,46253.11,6.70,1,5427.25,20600.00
104,49391.12,49819.76,53277.27,49514.57,5.50,88,703.10,20800.00
105,49819.77,49845.91,44526.05,52583.92,6.50,1,5274.55,21000.00
106,50348.63,50698.59,46446.24,51850.00,5.70,72,745.23,21200.00
107,50698.60,50728.86,38455.19,48083.19,6.60,1,5395.70,21400.00
108,51333.14,51683.92,46337.40,43142.49,5.70,72,761.08,21600.00
109,51683.93,51707.84,48664.24,43746.27,6.60,1,5410.39,21800.00
110,52311.00,52657.90,46854.87,44485.61,5.70,72,783.25,22000.00
111,52657.91,52681.82,48692.74,47285.50,6.70,1,5436.38,22200.00
112,53386.17,53773.01,49019.63,48070.62,5.60,80,708.09,22400.00
113,53773.02,53790.42,66900.40,48189.08,6.60,1,5321.28,22600.00
114,54393.39,54798.06,49091.61,54870.92,5.60,84,700.87,22800.00
115,54798.07,54823.22,46267.59,55003.88,6.50,1,5296.24,23000.00
116,55325.21,55682.91,45439.68,54086.53,5.70,72,768.79,23200.00
117,55682.92,55702.36,59882.70,46932.96,6.70,1,5411.38,23400.00
118,56407.19,56810.98,53671.33,50529.99,5.60,84,687.03,23600.00
119,56810.99,56836.35,45902.67,52997.90,6.50,1,5283.32,23800.00
120,57338.44,57692.44,45915.77,53152.24,5.70,72,755.82,24000.00
121,57692.44,57722.79,38353.82,48496.59,6.70,1,5401.85,24200.00
122,58427.17,58814.80,51250.70,43390.75,5.60,80,667.07,24400.00
123,58814.81,58841.04,44359.76,45173.43,6.60,1,5279.50,24600.00
124,59443.05,59823.39,45109.76,44654.76,5.60,76,650.82,24800.00
125,59823.39,59852.91,39437.57,46906.74,6.50,1,5270.89,25000.00
126,60354.90,60705.48,46363.83,42969.03,5.70,72,739.39,25200.00
127,60705.48,60725.54,58031.71,43637.05,6.70,1,5388.81,25400.00
128,61430.20,61822.71,50612.72,47944.37,5.60,80,664.02,25600.00
129,61822.72,61847.58,46827.86,51669.42,6.60,1,5271.59,25800.00
130,62449.10,62812.07,47268.63,51824.10,5.60,76,645.11,26000.00
131,62812.08,62837.12,46491.19,48236.40,6.60,1,5282.21,26200.00
132,63440.77,63811.52,48712.07,46862.56,5.60,76,653.45,26400.00
133,63811.52,63828.89,67039.11,47490.63,6.60,1,5282.78,26600.00
134,64431.92,64822.56,48543.04,54080.79,5.60,84,662.36,26800.00
135,65425.65,65771.97,46932.93,54764.74,4.70,72,668.61,27000.00
136,66475.23,66864.64,48696.00,54171.69,3.60,80,618.97,27200.00
137,67468.38,67811.15,47419.14,48057.32,2.60,72,625.87,27400.00
138,68413.49,68777.65,47114.94,47682.69,1.70,76,680.73,27600.00
