time, playing_seg_id, stall_time, buff_size, seg_avg_qual, seg_avg_qual_w, seg_avg_bitrate, seg_avg_bitrate_w, seg_std_bitrate
51,51304.55,0,6.00, 5.00,20.00,951.00,3804.00,0.00,9.36,26.08,1,12.51,2.53
52,52310.79,0,6.00, 5.00,20.00,951.00,3804.00,0.00,22.50,25.36,1,14.51,5.47
53,53314.64,0,6.00, 4.66,19.85,873.58,3770.75,198.91,50.15,30.32,1,21.64,9.53
54,54320.20,0,6.00, 5.00,20.00,951.00,3804.00,0.00,17.48,27.75,1,20.81,5.87
55,55325.48,0,6.00, 5.00,20.00,951.00,3804.00,0.00,9.64,24.13,1,18.57,2.00
56,56328.88,0,6.00, 5.00,20.00,951.00,3804.00,0.00,22.37,23.78,1,19.33,5.07
57,57332.56,0,6.00, 5.00,20.00,951.00,3804.00,0.00,35.77,26.18,1,22.62,6.00
58,58339.25,0,6.00, 4.78,19.28,900.83,3641.27,141.89,38.68,28.68,1,25.83,7.27
59,59346.12,0,6.00, 4.45,17.19,827.26,3169.35,307.42,78.86,38.71,1,36.44,10.53
60,60350.14,0,6.00, 5.00,20.00,951.00,3804.00,0.00,17.84,34.54,1,21.56,3.93
61,61354.76,0,6.00, 5.00,20.00,951.00,3804.00,0.00,25.55,32.74,1,22.36,7.27
62,62360.05,0,6.00, 5.00,20.00,951.00,3804.00,0.00,18.75,29.94,1,21.64,6.13
63,63364.15,0,6.00, 3.88,14.36,698.49,2530.54,400.72,82.24,40.40,1,33.76,12.93
64,64369.06,0,6.00, 5.00,20.00,951.00,3804.00,0.00,21.01,36.52,1,23.56,6.00
65,65372.22,0,5.00, 5.00,20.00,951.00,3804.00,0.00,8.53,30.93,1,20.56,2.73
66,66375.58,0,4.00, 5.00,20.00,951.00,3804.00,0.00,40.59,32.86,1,24.56,6.13
67,67380.78,0,3.00, 5.00,20.00,951.00,3804.00,0.00,8.40,27.97,1,11.63,2.33
68,68384.80,0,2.00, 4.52,18.98,842.31,3574.29,192.91,48.59,32.09,1,19.02,8.80
69,69390.15,0,1.00, 4.73,18.93,890.80,3563.20,0.00,13.70,28.41,0,14.77,3.80
