face_req_time,face_end_time,face_dow_thrp,iter_id,sid,fid,face_br,face_size,face_ini_weight,face_late
19294.90,19558.44,3327.68,1,34,19,16,200,200.00,20.00
19294.99,19616.45,3453.58,1,34,19,21,200,200.00,20.00
19295.08,19637.37,9627.88,1,34,19,23,200,200.00,20.00
19637.73,20230.36,5425.37,0,35,28,0,3000,3000.00,20.00
20230.79,20302.90,1639344.26,0,36,20,1,200,200.00,20.00
20230.89,20303.13,1204819.28,0,36,20,2,200,200.00,20.00
20230.99,20392.34,2243.38,0,36,20,3,200,200.00,20.00
20231.10,20392.81,660066.01,0,36,20,4,200,200.00,20.00
20231.20,20446.03,3765.98,0,36,20,10,200,200.00,20.00
20231.30,20511.23,3074.04,1,36,20,16,200,200.00,20.00
20231.40,20511.46,1156069.36,1,36,20,21,200,200.00,20.00
20231.50,20543.82,6195.02,1,36,20,23,200,200.00,20.00
20544.13,20631.78,1694915.25,0,37,21,1,200,200.00,20.00
20544.21,20632.01,1169590.64,0,37,21,2,200,200.00,20.00
20544.28,20689.32,4164.50,0,37,21,3,200,200.00,20.00
20544.35,20749.71,3316.36,0,37,21,4,200,200.00,20.00
20544.42,20749.97,1197604.79,0,37,21,10,200,200.00,20.00
20544.49,20808.05,3447.15,0,37,21,16,200,200.00,20.00
20544.56,20866.80,3409.77,0,37,21,21,200,200.00,20.00
20544.64,20867.14,803212.85,0,37,21,23,200,200.00,20.00
20867.40,21479.88,5425.04,0,38,29,0,3000,3000.00,20.00
21580.48,21603.62,1226993.87,0,39,22,2,200,200.00,20.00
21580.58,21603.93,892857.14,0,39,22,3,200,200.00,20.00
21580.69,21641.93,5275.93,0,39,22,4,200,200.00,20.00
21580.79,21642.19,1086956.52,0,39,22,10,200,200.00,20.00
21580.89,21695.28,3772.94,0,39,22,16,200,200.00,20.00
21580.99,21760.63,3064.90,0,39,22,21,200,200.00,20.00
21581.09,21760.91,1000000.00,0,39,22,23,200,200.00,20.00
21581.19,21793.26,6196.94,0,39,22,24,200,200.00,20.00
21793.53,22396.23,5805.09,0,40,30,0,3000,3000.00,20.00
22496.95,22520.54,980392.16,0,41,23,1,200,200.00,20.00
22497.11,22541.31,9682.89,0,41,23,2,200,200.00,20.00
22497.23,22541.64,840336.13,0,41,23,3,200,200.00,20.00
22497.35,22583.35,4806.42,0,41,23,4,200,200.00,20.00
22497.48,22647.46,3123.88,0,41,23,10,200,200.00,20.00
22497.60,22647.73,1025641.03,0,41,23,16,200,200.00,20.00
22497.72,22702.08,3684.46,0,41,23,21,200,200.00,20.00
22497.84,22722.74,9717.70,0,41,23,23,200,200.00,20.00
22723.05,23322.47,5980.63,0,42,31,0,3000,3000.00,20.00
23523.00,23545.50,1550387.60,0,43,24,1,200,200.00,20.00
23523.08,23545.72,1069518.72,0,43,24,2,200,200.00,20.00
23523.15,23566.29,9757.53,0,43,24,4,200,200.00,20.00
23523.23,23586.97,9708.74,0,43,24,10,200,200.00,20.00
23523.30,23587.20,1298701.30,0,43,24,16,200,200.00,20.00
23523.37,23607.77,9741.37,0,43,24,21,200,200.00,20.00
23523.44,23652.19,4509.89,0,43,24,22,200,200.00,20.00
23523.51,23652.44,1104972.38,0,43,24,23,200,200.00,20.00
