0,142.10,427.46,10512.70,0.00,1.00,1,-142.10
1,427.49,1030.38,4976.07,10512.70,1.50,1,-427.49
2,1030.39,1643.29,4894.76,7744.39,1.90,1,1448.67
3,1643.31,2236.82,5054.62,6794.51,2.30,1,1835.75
4,2236.84,2839.95,4974.22,4975.15,2.70,1,2242.22
5,2839.97,3442.94,4975.34,4974.53,3.10,1,2639.09
6,3442.95,4055.79,4895.26,5001.39,3.50,1,3036.11
7,4055.80,4649.29,5054.88,4948.27,3.90,1,3423.26
8,4649.31,5252.49,4973.63,4975.16,4.30,1,3829.75
9,5252.51,5855.46,4975.51,4974.59,4.70,1,4226.55
10,5855.47,6468.29,4895.44,5001.34,5.10,1,4623.59
11,6468.30,7061.88,5054.06,4948.20,5.50,1,5010.76
12,7061.91,7665.02,4974.23,4975.01,5.90,1,5417.15
13,7665.03,8267.92,4976.11,4974.58,6.30,1,5814.02
14,8267.92,8880.88,4894.31,5001.47,6.70,1,6211.14
15,8880.90,9474.39,5054.79,4948.22,7.10,1,6598.16
16,9474.41,10077.57,4973.74,4975.07,7.50,1,7004.65
17,10077.59,10680.54,4975.56,4974.28,7.90,1,7401.47
18,10680.56,11293.38,4895.41,5001.36,8.20,1,7798.50
19,11293.39,11886.95,5054.28,4948.24,8.70,1,8185.66
20,11886.97,12490.05,4974.45,4975.08,9.00,1,8592.09
21,12490.07,12820.68,4839.58,4974.71,8.70,8,988.98
22,12820.69,13416.40,5035.98,4956.10,9.10,1,8658.37
23,13516.52,13918.68,5967.67,4950.00,8.60,10,962.54
24,13918.70,14037.29,3373.02,5281.08,8.50,1,8560.36
25,14037.30,15187.64,2607.92,4792.22,8.40,1,8441.76
26,15187.66,15790.62,4975.48,3982.87,8.80,1,8291.40
27,15790.63,16393.53,4975.99,3652.14,9.10,1,8688.43
28,16593.74,16996.73,7444.33,4186.46,9.50,1,8885.32
29,16996.75,17319.84,4952.15,5798.60,9.20,8,482.31
30,17520.05,17642.92,13022.21,5790.83,8.90,8,959.00
31,17642.93,18255.79,4895.05,8472.90,9.30,1,8836.13
32,18556.13,18890.85,9560.26,7623.14,8.70,8,922.92
33,18890.87,19503.83,4894.21,9159.17,9.00,1,8588.19
34,19503.85,20138.99,5038.29,6449.84,8.40,8,975.20
35,20139.01,20741.98,4975.36,6497.59,8.80,1,8340.05
36,20741.99,21345.03,4974.85,4969.29,9.20,1,8737.07
37,21345.04,21596.23,4777.37,4996.17,8.90,6,134.01
38,21596.24,21650.81,3664.88,4909.19,8.90,1,8882.82
39,21650.82,21714.83,3124.85,4472.37,8.80,1,8828.24
40,21714.84,22874.11,2587.84,3855.70,8.70,1,8764.22
41,22874.12,23477.10,4975.23,3125.86,9.10,1,8604.94
42,23677.31,24080.33,7443.84,3562.64,9.50,1,8801.75
43,24080.34,24457.09,4777.69,5002.30,9.10,9,398.70
44,24557.20,24767.23,7618.00,5732.25,8.80,8,921.85
45,24767.24,25370.23,4975.23,6613.17,9.20,1,8711.82
46,25570.42,25696.39,12701.34,5790.31,8.90,8,908.63
47,25696.40,26296.56,4998.68,8431.52,9.30,1,8782.66
48,26596.85,27021.84,8470.91,7558.41,8.50,9,882.20
49,27021.85,27624.75,4975.92,8723.64,8.90,1,8457.21
50,27624.76,28227.69,4975.75,6148.50,9.30,1,8854.30
51,28227.70,28550.81,4951.83,6140.86,9.00,8,251.36
52,28550.82,28914.20,4953.57,4967.83,8.60,9,928.23
53,28914.21,29517.24,4974.85,4960.38,9.00,1,8564.85
54,29617.36,30120.60,5961.28,4960.08,9.40,1,8861.70
